title,inception,movement,genre,image_url
Nursing Madonna,1470-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%2C%20Mare%20de%20D%C3%A9u%20de%20la%20Llet%2C%20Museu%20de%20Belles%20Arts%20de%20Val%C3%A8ncia.jpg
Saint John the Baptist,1470-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20st.Joan%20Baptista%20desert%204104.jpg
Christ of the Mercy,1475-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Crist%20de%20la%20Pietat%204106.jpg
Death and Assumption of the Virgin Mary,1472-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Mort%20Assumpci%C3%B3%20Maria%204105.jpg
Entry to the Paradise and vision of the Crucified,1480-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Crist%20guiant%20patriarques%20Parad%C3%ADs%204108.jpg
ascension,1480-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bermejo%20casa%20Amatller%20RI-51-0004199%204561.jpg
altarpiece of Sainte Engratia,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20hipotesi%204165.jpg
Sainte Engratia,1474-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Engratia.JPG
The Arrest of Santa Engracia,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20arrest%204117.jpg
Imprisonment of Sainte Engratia,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20empresonament%204161.jpg
predella from altarpiece of Sainte Engratia,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20predela%204121.jpg
Calvary from altarpiece of Sainte Engratia from altarpiece of Sainte Engratia,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20crucifixio%204122.jpg
Altarpiece of Santo Domingo de Silos,1476-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.St.Domingo%20Silos%20hipotesi%204130.jpg
Death of Santo Domingo de Silos,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.St.Domingo%20Silos%20mort%20del%20Sant%204132.jpg
Altarpiece of Mare de Déu de la Misericordia by Bartolomé Bermejo,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20hipotesi%204156.jpg
Q61962938,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20Marededeu%204136.jpg
Q61963030,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20st.Vicen%C3%A7-st.Lloren%C3%A7%204140.jpg
Q61963077,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20Miracle%20Neu%204138.jpg
Q61963086,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20els%20dos%20Joans%204158.jpg
Saint Damian,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20%281440-1495%29%20-%20De%20heilige%20Damiaan%20%28ca.1490%29%20-%20Lissabon%20Museu%20Nacional%20de%20Arte%20Antiga%2019-10-2010%2016-12-101.jpg
Descent from the Cross,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Descendimiento%2C%20de%20Bartolom%C3%A9%20Bermejo%20y%20Mart%C3%ADn%20Bernat%20%28Museo%20de%20Zaragoza%29.JPG
The Adoration of the Magi,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bermejo-Epifania-Gr.jpg
Q61965321,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Santa%20Fa%C3%A7%204148.jpg
Triptych of the Virgin of Montserrat1,1483-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Montserrat%20Anunciacio-tancat%204149.jpg
Triptych of the Virgin of Montserrat2,1483-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20-%20Retablo%20della%20vergine%20di%20Montserrat.jpg
Portrait of Pope Gregory XIII,1585-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Lavinia%20Fontana%20-%20Portrait%20of%20Pope%20Gregory%20XIII.jpg
Calavera,1600-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20de%20Juanes%20-%20In%20omnibus%20operibus.jpg
Madonna with grapes,1583-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20racimo%20-%20CE2206P.jpg
Q66287947,1600-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20velo%20%28CE2454P%29%20-%20Anonymous%2C%20copy%20of%20Raffaello%20Sanzio.jpg
Our Lady of Piasek,1500-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Krakow-kosciol%20Nawiedzenia%20NMP%20MB%20Piaskowa.jpg
Saint John the Baptist by Ercole de' Roberti,1480-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20der%20T%C3%A4ufer%20-%20Gem%C3%A4ldegalerie%20Berlin%20-%204280678.jpg
Portrait of Pope Julius III,1600-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Girolamo%20siciolante%20da%20sermoneta%2C%20ritratto%20di%20papa%20giulio%20III%2C%201550%20ca.%20%28gall.%20spada%29.jpg
Q113636993,2000-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20con%20el%20Ni%C3%B1o%20%28CE2458P%29%2C%20Museo%20de%20Bellas%20Artes%20de%20C%C3%B3rdoba.jpg
"Portrait of Pope Gregory XIII, bust-length",1600-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Pope%20Gregory%20XIII%2C%20bust-length%20%28by%20Scipione%20Pulzone%29.jpg
Mademoiselle Caroline Rivière,1806-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Mademoiselle%20Caroline%20Rivi%C3%A8re%20-%20Jean-Auguste-Dominique%20Ingres%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20MI%201447.jpg
The Oath of the Horatii,1785-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%2C%20Le%20Serment%20des%20Horaces.jpg
Portrait of Antoine-Laurent Lavoisier and his wife,1788-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Portrait%20of%20Monsieur%20Lavoisier%20and%20His%20Wife.jpg
The Death of Marat,1793-10-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Marat%20assassinated%20-%20Google%20Art%20Project%202.jpg
Antiochus and Stratonice,1840-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Auguste-Dominique%20Ingres%20-%20La%20maladie%20d%27Antiochus%2C%20ou%20Antiochus%20et%20Stratonice%20-%20Google%20Art%20Project.jpg
Mars Being Disarmed by Venus,1824-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Mars%20desarme%20par%20Venus.JPG
Portrait of Lady Clan Henderson,1771-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Angelika%20Kauffmann%20Anne%20Loudoun%20Lady%20Henderseon%20of%20Fordell%201771.jpg
Portrait of David Garrick,1764-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Kauffman-Garrick.jpg
Jupiter and Thetis,1811-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BApiter%20y%20Tetis%2C%20por%20Dominique%20Ingres.jpg
The Death of General Wolfe,1770-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20West%20005.jpg
The Source,1856-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20-%20The%20Spring%20-%20Google%20Art%20Project%202.jpg
Napoleon I on his Imperial Throne,1806-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Ingres%2C%20Napoleon%20on%20his%20Imperial%20throne.jpg
The Birth of Venus,1879-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Birth%20of%20Venus%20by%20William-Adolphe%20Bouguereau%20%281879%29.jpg
The Intervention of the Sabine Women,1799-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/F0440%20Louvre%20JL%20David%20Sabines%20INV3691%20rwk.jpg
The Death of Socrates,1787-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Death%20of%20Socrates%20MET%20DP-13139-001.jpg
Grande Odalisque,1814-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/France-003335%20-%20Grande%20Odalisque%20%2816051027150%29.jpg
The Turkish Bath,1862-01-01T00:00:00Z,neoclassicism,genre art,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Bain%20Turc%2C%20by%20Jean%20Auguste%20Dominique%20Ingres%2C%20from%20C2RMF%20retouched.jpg
The Milkmaid of Bordeaux,1827-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Goya%20MilkMaid.jpg
Paris and Helen,1788-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Love%20of%20Paris%20and%20Helen%20by%20Jacques-Louis%20David%20%28cropped%29.jpg
The Lictors Bring to Brutus the Bodies of His Sons,1789-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Brutus.jpg
Predella of the Barbadori altarpiece,1438-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Predella%20Pala%20Barbadori-%20Uffizi.JPG
