_index_artworks,title,inception,movement,genre,answer
16,altarpiece of sainte engratia,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.sta.engracia%20hipotesi%204165.jpg
17,sainte engratia,1474-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/saint%20engratia.jpg
18,the arrest of santa engracia,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.sta.engracia%20arrest%204117.jpg
19,imprisonment of sainte engratia,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.sta.engracia%20empresonament%204161.jpg
20,predella from altarpiece of sainte engratia,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.sta.engracia%20predela%204121.jpg
21,calvary from altarpiece of sainte engratia from altarpiece of sainte engratia,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.sta.engracia%20crucifixio%204122.jpg
22,altarpiece of santo domingo de silos,1476-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.st.domingo%20silos%20hipotesi%204130.jpg
23,death of santo domingo de silos,1479-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.st.domingo%20silos%20mort%20del%20sant%204132.jpg
24,altarpiece of mare de déu de la misericordia by bartolomé bermejo,1479-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.misericordia%20hipotesi%204156.jpg
25,q61962938,1479-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.misericordia%20marededeu%204136.jpg
26,q61963030,1479-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.misericordia%20st.vicen%c3%a7-st.lloren%c3%a7%204140.jpg
27,q61963077,1479-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.misericordia%20miracle%20neu%204138.jpg
28,q61963086,1479-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.misericordia%20els%20dos%20joans%204158.jpg
29,saint damian,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/bartolom%c3%a9%20bermejo%20%281440-1495%29%20-%20de%20heilige%20damiaan%20%28ca.1490%29%20-%20lissabon%20museu%20nacional%20de%20arte%20antiga%2019-10-2010%2016-12-101.jpg
30,descent from the cross,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/descendimiento%2c%20de%20bartolom%c3%a9%20bermejo%20y%20mart%c3%adn%20bernat%20%28museo%20de%20zaragoza%29.jpg
31,the adoration of the magi,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/bermejo-epifania-gr.jpg
32,q61965321,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20santa%20fa%c3%a7%204148.jpg
33,triptych of the virgin of montserrat1,1483-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.montserrat%20anunciacio-tancat%204149.jpg
34,triptych of the virgin of montserrat2,1483-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/bartolom%c3%a9%20bermejo%20-%20retablo%20della%20vergine%20di%20montserrat.jpg
35,portrait of pope gregory xiii,1585-01-01 00:00:00+00:00,renaissance,portrait,/root/.reasondb/cache/artwork_random_dev/artworks_files/lavinia%20fontana%20-%20portrait%20of%20pope%20gregory%20xiii.jpg
37,madonna with grapes,1583-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/virgen%20del%20racimo%20-%20ce2206p.jpg
38,q66287947,1600-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/virgen%20del%20velo%20%28ce2454p%29%20-%20anonymous%2c%20copy%20of%20raffaello%20sanzio.jpg
39,our lady of piasek,1500-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/krakow-kosciol%20nawiedzenia%20nmp%20mb%20piaskowa.jpg
40,saint john the baptist by ercole de roberti,1480-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/johannes%20der%20t%c3%a4ufer%20-%20gem%c3%a4ldegalerie%20berlin%20-%204280678.jpg
41,portrait of pope julius iii,1600-01-01 00:00:00+00:00,renaissance,portrait,/root/.reasondb/cache/artwork_random_dev/artworks_files/girolamo%20siciolante%20da%20sermoneta%2c%20ritratto%20di%20papa%20giulio%20iii%2c%201550%20ca.%20%28gall.%20spada%29.jpg
42,q113636993,2000-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/virgen%20con%20el%20ni%c3%b1o%20%28ce2458p%29%2c%20museo%20de%20bellas%20artes%20de%20c%c3%b3rdoba.jpg
43,"portrait of pope gregory xiii, bust-length",1600-01-01 00:00:00+00:00,renaissance,portrait,/root/.reasondb/cache/artwork_random_dev/artworks_files/portrait%20of%20pope%20gregory%20xiii%2c%20bust-length%20%28by%20scipione%20pulzone%29.jpg
45,the oath of the horatii,1785-01-01 00:00:00+00:00,neoclassicism,history painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/jacques-louis%20david%2c%20le%20serment%20des%20horaces.jpg
48,antiochus and stratonice,1840-01-01 00:00:00+00:00,neoclassicism,history painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/jean-auguste-dominique%20ingres%20-%20la%20maladie%20d%27antiochus%2c%20ou%20antiochus%20et%20stratonice%20-%20google%20art%20project.jpg
49,mars being disarmed by venus,1824-01-01 00:00:00+00:00,neoclassicism,mythological painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/jacques-louis%20david%20-%20mars%20desarme%20par%20venus.jpg
52,jupiter and thetis,1811-01-01 00:00:00+00:00,neoclassicism,mythological painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/j%c3%bapiter%20y%20tetis%2c%20por%20dominique%20ingres.jpg
56,the birth of venus,1879-01-01 00:00:00+00:00,neoclassicism,mythological painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/the%20birth%20of%20venus%20by%20william-adolphe%20bouguereau%20%281879%29.jpg
58,the death of socrates,1787-01-01 00:00:00+00:00,neoclassicism,history painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/the%20death%20of%20socrates%20met%20dp-13139-001.jpg
63,the lictors bring to brutus the bodies of his sons,1789-01-01 00:00:00+00:00,neoclassicism,history painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/david%20brutus.jpg
64,predella of the barbadori altarpiece,1438-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/predella%20pala%20barbadori-%20uffizi.jpg
